random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
,,,m,1,,0,48,48,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.395515
,,,v,0,,0,49,49,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.338175
,,,m,1,,0,50,50,3,1,cmp_building_044_dog_012,S1_building_044_dog_012.jpg,1,dog1544.png,dog1544.png,dog1543.png,dog1592.png,dog1560.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.135
,,,v,1,,0,51,51,74,1,cmp_shelves_033_book_006,S4_shelves_033_book_006.jpg,0,blank.png,blank.png,book119.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.54434
,,,v,1,,0,52,52,43,1,cmp_mountain_020_sheep_008,S4_mountain_020_sheep_008.jpg,0,blank.png,blank.png,sheep474.png,sheep356.png,sheep455.png,sheep483.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.02974
,,,m,1,,0,53,53,19,1,cmp_building_004_sheep_001,S2_building_004_sheep_001.jpg,1,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_014.png,stm_building_004_sheep_001_015.png,stm_building_004_sheep_001_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.323275
,,,v,0,,0,54,54,6,1,cmp_building_043_dog_011,S1_building_043_dog_011.jpg,1,dog1389.png,dog1389.png,dog1385.png,dog1267.png,dog1402.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.201705
,,,m,1,,0,55,55,69,1,cmp_sky_003_kite_003,S4_sky_003_kite_003.jpg,1,kite624.png,kite624.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,0.69171
,,,v,1,,0,56,56,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.099775
,,,v,0,,0,57,57,59,1,cmp_field_004_farmanimals_004,S4_field_004_farmanimals_004.jpg,1,horse205.png,horse205.png,horse7.png,sheep103.png,sheep106.png,cow69.png,cow232.png,cow15.png,sheep3.png,blank.png,1,4,8,8,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.11723
