random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate
,,,v,1,2.144225,,0,101,101,92,1,cmp_building_024_person_010,S4_building_024_person_010.jpg,0,blank.png,blank.png,person1015.png,person1089.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,2.399955,,0,102,102,104,1,cmp_shelves_040_book_013,S8_shelves_040_book_013.jpg,0,blank.png,blank.png,book477.png,book786.png,book915.png,book921.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.786945,,0,103,103,77,1,cmp_shelves_043_toys_002,S4_shelves_043_toys_002.jpg,0,blank.png,blank.png,car138.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,1.117695,,0,104,104,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,1.0081,,0,105,105,26,1,cmp_mountain_011_bear_003,S2_mountain_011_bear_003.jpg,1,bear46.png,bear46.png,bear145.png,bear70.png,bear215.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.89995,,0,106,106,109,1,cmp_building_023_cat_010,S8_building_023_cat_010.jpg,0,blank.png,blank.png,cat1497.png,cat1551.png,cat1592.png,cat1671.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,1.66105,,0,107,107,16,1,cmp_building_002_cat_001,S2_building_002_cat_001.jpg,1,stm_building_002_cat_001_012.png,stm_building_002_cat_001_012.png,stm_building_002_cat_001_005.png,stm_building_002_cat_001_007.png,stm_building_002_cat_001_003.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,0.783905,,0,108,108,32,1,cmp_shelves_032_book_005,S4_shelves_032_book_005.jpg,1,book466.png,book466.png,book22.png,book23.png,book513.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.80154,,0,109,109,49,1,cmp_mountain_021_sheep_009,S4_mountain_021_sheep_009.jpg,0,blank.png,blank.png,sheep760.png,sheep655.png,sheep710.png,sheep654.png,sheep618.png,sheep761.png,sheep719.png,sheep739.png,1,4,8,8,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,0.90902,,0,110,110,19,1,cmp_building_004_sheep_001,S2_building_004_sheep_001.jpg,1,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_014.png,stm_building_004_sheep_001_015.png,stm_building_004_sheep_001_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.79619,,0,111,111,48,1,cmp_shelves_030_book_003,S4_shelves_030_book_003.jpg,0,blank.png,blank.png,book106.png,book150.png,book237.png,book549.png,book9.png,book417.png,book51.png,book396.png,1,4,8,8,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
