trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
46,different,4,0.14,0.14,red,1,0.14,-0.14,green,1,-0.14,-0.41,orange,1,-0.27,0.41,blue,1,0.41,0.27,white,0,0.14,-0.27,magenta,0,-0.14,-0.14,black,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,-0.14,-0.41,blue,l,1.0,1.0,1.0,0.0,'l',1.184613823890686,1.184613823890686,0.0,22.0
47,different,4,0.27,0.27,magenta,1,0.41,-0.27,black,1,-0.14,-0.41,red,1,-0.14,0.41,green,1,0.41,0.41,white,0,0.27,-0.14,orange,0,-0.27,-0.14,blue,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.27,0.27,blue,l,1.0,1.0,1.0,0.0,'l',0.9177976250648499,0.9177976250648499,0.0,21.0
48,different,4,0.14,0.27,red,1,0.27,-0.14,yellow,1,-0.27,-0.41,magenta,1,-0.41,0.14,green,1,0.14,0.14,orange,0,0.41,-0.14,white,0,-0.27,-0.27,black,0,-0.41,0.41,blue,0,0.05,0.05,0.15,0.14,0.27,blue,l,1.0,1.0,1.0,0.0,'l',1.0509350299835205,1.0509350299835205,0.0,97.0
49,different,4,0.27,0.14,green,1,0.41,-0.14,yellow,1,-0.27,-0.41,red,1,-0.14,0.14,white,1,0.14,0.14,blue,0,0.27,-0.27,black,0,-0.14,-0.41,orange,0,-0.41,0.14,magenta,0,0.05,0.05,0.15,0.27,0.14,yellow,l,1.0,1.0,1.0,0.0,'l',0.7667458653450012,0.7667458653450012,0.0,56.0
50,different,4,0.41,0.14,black,1,0.14,-0.14,blue,1,-0.41,-0.41,red,1,-0.27,0.14,green,1,0.14,0.41,white,0,0.41,-0.14,magenta,0,-0.14,-0.27,yellow,0,-0.27,0.41,orange,0,0.05,0.05,0.15,-0.41,-0.41,orange,l,1.0,1.0,1.0,0.0,'l',1.1338287591934204,1.1338287591934204,0.0,3.0
51,different,4,0.41,0.41,yellow,1,0.14,-0.27,red,1,-0.14,-0.27,white,1,-0.41,0.14,orange,1,0.14,0.41,green,0,0.27,-0.41,black,0,-0.27,-0.14,blue,0,-0.41,0.27,magenta,0,0.05,0.05,0.15,0.41,0.41,red,l,1.0,1.0,1.0,0.0,'l',0.884327232837677,0.884327232837677,0.0,69.0
52,different,4,0.27,0.41,white,1,0.14,-0.14,orange,1,-0.41,-0.14,black,1,-0.27,0.41,blue,1,0.14,0.27,magenta,0,0.27,-0.14,green,0,-0.27,-0.14,red,0,-0.14,0.41,yellow,0,0.05,0.05,0.15,0.14,-0.14,green,l,1.0,1.0,1.0,0.0,'l',0.7677546739578247,0.7677546739578247,0.0,47.0
53,different,4,0.14,0.27,white,1,0.41,-0.14,yellow,1,-0.41,-0.41,green,1,-0.14,0.41,black,1,0.41,0.27,red,0,0.14,-0.14,magenta,0,-0.27,-0.27,blue,0,-0.27,0.27,orange,0,0.05,0.05,0.15,0.14,0.27,blue,l,1.0,1.0,1.0,0.0,'l',0.7698462605476379,0.7698462605476379,0.0,104.0
54,different,4,0.14,0.14,yellow,1,0.41,-0.41,magenta,1,-0.14,-0.41,black,1,-0.14,0.27,orange,1,0.41,0.27,white,0,0.41,-0.27,red,0,-0.27,-0.14,green,0,-0.27,0.27,blue,0,0.05,0.05,0.15,0.41,-0.41,white,l,1.0,1.0,1.0,0.0,'l',0.9171735644340515,0.9171735644340515,0.0,36.0
55,different,4,0.14,0.14,black,1,0.41,-0.14,white,1,-0.27,-0.27,magenta,1,-0.14,0.41,blue,1,0.27,0.14,yellow,0,0.14,-0.27,red,0,-0.27,-0.41,orange,0,-0.27,0.41,green,0,0.05,0.05,0.15,0.14,0.14,yellow,l,1.0,1.0,1.0,0.0,'l',3.2847650051116943,3.2847650051116943,0.0,43.0
